season,event_code,event_name,team_count,match_count,team_number,adv_rank,qual_rank,qual_points,alliance_selection_points,award_points,playoff_points,total_points,alliance_seed,alliance_role,playoff_placement,advanced,is_advancement_eligible,award_types
2024,AUNWQ,Wollongong Qualifier,19,30,19341,1,5,,,,,,2,partner,3,true,true,Inspire:1
2024,AUNWQ,Wollongong Qualifier,19,30,11146,2,1,,,,,,1,captain,1,true,true,Inspire:2
2024,AUNWQ,Wollongong Qualifier,19,30,18362,3,4,,,,,,1,partner,1,true,true,
2024,AUNWQ,Wollongong Qualifier,19,30,11143,4,3,,,,,,3,captain,2,true,true,Innovate:1
2024,AUNWQ,Wollongong Qualifier,19,30,18363,5,16,,,,,,,,,true,true,Think:1
2024,AUNWQ,Wollongong Qualifier,19,30,11148,6,7,,,,,,3,partner,2,true,true,
2024,AUNWQ,Wollongong Qualifier,19,30,23369,7,9,,,,,,,,,true,true,Connect:1
2024,AUNWQ,Wollongong Qualifier,19,30,21035,8,2,,,,,,2,captain,3,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,11145,9,17,,,,,,,,,false,true,Control:1
2024,AUNWQ,Wollongong Qualifier,19,30,21095,10,11,,,,,,,,,false,true,Motivate:1
2024,AUNWQ,Wollongong Qualifier,19,30,18359,11,6,,,,,,4,captain,4,false,true,Design:1
2024,AUNWQ,Wollongong Qualifier,19,30,28299,12,8,,,,,,,,,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,18360,13,10,,,,,,4,partner,4,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,24766,14,12,,,,,,,,,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,24404,15,13,,,,,,,,,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,24405,16,14,,,,,,,,,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,23636,17,15,,,,,,,,,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,24669,18,18,,,,,,,,,false,true,
2024,AUNWQ,Wollongong Qualifier,19,30,12554,19,19,,,,,,,,,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,17556,1,11,,,,,,3,partner,2,true,true,Inspire:1
2024,AUINQ,Brisbane South Qualifier,16,27,23335,2,2,,,,,,2,captain,1,true,true,Think:1
2024,AUINQ,Brisbane South Qualifier,16,27,18500,3,8,,,,,,2,partner,1,true,true,
2024,AUINQ,Brisbane South Qualifier,16,27,19450,4,5,,,,,,1,partner,4,true,true,Inspire:2
2024,AUINQ,Brisbane South Qualifier,16,27,23334,5,3,,,,,,3,captain,2,true,true,Connect:1
2024,AUINQ,Brisbane South Qualifier,16,27,27373,6,4,,,,,,4,captain,3,true,true,Motivate:1
2024,AUINQ,Brisbane South Qualifier,16,27,26085,7,6,,,,,,4,partner,3,true,true,Innovate:1
2024,AUINQ,Brisbane South Qualifier,16,27,14466,8,10,,,,,,,,,false,true,Control:1
2024,AUINQ,Brisbane South Qualifier,16,27,18187,9,13,,,,,,,,,false,true,Design:1
2024,AUINQ,Brisbane South Qualifier,16,27,14340,10,1,,,,,,1,captain,4,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,23065,11,7,,,,,,,,,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,25827,12,9,,,,,,,,,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,23047,13,12,,,,,,,,,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,26821,14,14,,,,,,,,,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,26716,15,15,,,,,,,,,false,true,
2024,AUINQ,Brisbane South Qualifier,16,27,19480,16,16,,,,,,,,,false,true,
2024,AUCMP,Australia Championship,42,77,14380,1,1,,,,,,1,captain,1,true,true,Inspire:1
2024,AUCMP,Australia Championship,42,77,11146,2,3,,,,,,1,partner,1,true,true,Design:1
2024,AUCMP,Australia Championship,42,77,12993,3,2,,,,,,2,captain,2,true,true,Inspire:2
2024,AUCMP,Australia Championship,42,77,26000,4,4,,,,,,3,captain,3,true,true,Inspire:3
2024,AUCMP,Australia Championship,42,77,18306,5,16,,,,,,,,,false,true,Think:1
2024,AUCMP,Australia Championship,42,77,24089,6,9,,,,,,2,partner,2,false,true,Innovate:1
2024,AUCMP,Australia Championship,42,77,23335,7,29,,,,,,,,,false,true,Connect:1
2024,AUCMP,Australia Championship,42,77,11148,8,6,,,,,,3,partner,3,false,true,Design:2
2024,AUCMP,Australia Championship,42,77,14579,9,13,,,,,,5,partner,4,false,true,Control:1
2024,AUCMP,Australia Championship,42,77,23369,10,19,,,,,,,,,false,true,Motivate:1
2024,AUCMP,Australia Championship,42,77,26420,11,5,,,,,,4,captain,8,false,true,
2024,AUCMP,Australia Championship,42,77,19341,12,7,,,,,,5,captain,4,false,true,JudgesChoice:2
2024,AUCMP,Australia Championship,42,77,26689,13,33,,,,,,,,,false,true,Think:2
2024,AUCMP,Australia Championship,42,77,15215,14,8,,,,,,4,partner,8,false,true,
2024,AUCMP,Australia Championship,42,77,19450,15,37,,,,,,,,,false,true,Connect:2
2024,AUCMP,Australia Championship,42,77,11144,16,15,,,,,,8,partner,5,false,true,Innovate:2
2024,AUCMP,Australia Championship,42,77,11505,17,38,,,,,,,,,false,true,Control:2
2024,AUCMP,Australia Championship,42,77,17556,18,28,,,,,,,,,false,true,Motivate:2
